,ids,typesV0,typesKm,formula,labels
570,mp-1371062,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li1', 'Li1', 'Li1', 'Li1', 'Li1', 'Li1', 'Li1', 'Li1', 'Mn3', 'Mn3', 'Co3', 'Co3', 'Co0', 'Co0', 'O0', 'O0', 'O3', 'O0', 'O0', 'O0', 'O0', 'O0', 'O3', 'O0', 'O0', 'O0', 'O0', 'O0']",Li4MnCo2O7,1
571,mp-1174819,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn10', 'Mn1', 'Co3', 'Co2', 'Co6', 'Co5', 'O1', 'O4', 'O4', 'O1', 'O4', 'O4', 'O1', 'O4', 'O4', 'O4', 'O1', 'O4', 'O1', 'O4']",Li4MnCo2O7,1
572,mp-1174575,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Mn1', 'Co6', 'Co3', 'Co3', 'Co6', 'O1', 'O4', 'O1', 'O1', 'O4', 'O1', 'O4', 'O4', 'O1', 'O4', 'O1', 'O4', 'O1', 'O1']",Li4MnCo2O7,0
573,mp-1174780,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn2', 'Co6', 'Co5', 'Co6', 'Co5', 'O4', 'O1', 'O1', 'O4', 'O1', 'O1', 'O1', 'O4', 'O1', 'O1', 'O4', 'O1', 'O1', 'O1']",Li4MnCo2O7,1
574,mp-1174682,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Mn2', 'Co6', 'Co6', 'Co6', 'Co1', 'O1', 'O1', 'O1', 'O4', 'O4', 'O1', 'O1', 'O4', 'O4', 'O4', 'O4', 'O1', 'O1', 'O1']",Li4MnCo2O7,0
575,mp-1174747,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn8', 'Co2', 'Co3', 'Co1', 'Co2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2']",Li4MnCo2O7,1
576,mp-1174217,"['Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Co3', 'Co3', 'O1', 'O4', 'O4', 'O1', 'O1', 'O4', 'O4', 'O1']",Li5Mn(CoO4)2,1
577,mp-1174701,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn6', 'Mn8', 'Co1', 'Co1', 'Co1', 'Co1', 'O1', 'O2', 'O2', 'O2', 'O2', 'O2', 'O4', 'O2', 'O1', 'O2', 'O2', 'O2', 'O2', 'O2']",Li4MnCo2O7,0
578,mp-1174028,"['Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Co5', 'Co6', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1']",Li5Mn(CoO4)2,1
579,mp-1174832,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn10', 'Co6', 'Co5', 'Co1', 'Co5', 'O2', 'O4', 'O4', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O2', 'O4', 'O2']",Li4MnCo2O7,1
